train_grid,test_grid,model_type,nrmse,rmse,mmd_degree,mmd_laplacian
IEEE118,IEEE24,gcn,0.18201717734336853,0.3426209,0.4205756754700408,1.4142135623730951
IEEE118,IEEE39,gcn,0.13025423884391785,0.26050845,0.3996971648838745,1.4142135623730951
IEEE118,UK,gcn,0.29406920075416565,0.32511824,0.417637438453578,1.4142135623730951
